procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289936    0    0     0     0  108  236  0  4 96  0  0
 0  0      0 255840   3332 289936    0    0     0     0  110  237  0  3 97  0  0
 1  0      0 255840   3332 289936    0    0     0     0  110  241  0  2 98  0  0
 3  0      0 255840   3332 289936    0    0     0     0  108  233  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  104  236  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  111  242  0  2 98  0  0
 1  0      0 255840   3332 289936    0    0     0     0  110  235  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     8  113  248  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  110  231  0  4 96  0  0
 0  0      0 255840   3332 289936    0    0     0     0  103  231  0  1 99  0  0
 0  0      0 255840   3332 289936    0    0     0     0  106  230  0  3 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289936    0    0     0     0  108  234  0  2 98  0  0
 1  0      0 255840   3332 289936    0    0     0     0  121  242  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  111  240  0  3 97  0  0
 1  0      0 255840   3332 289936    0    0     0     0  110  231  0  3 97  0  0
 1  0      0 255840   3332 289936    0    0     0     0  106  230  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  108  233  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  121  250  0  4 96  0  0
 1  0      0 255840   3332 289936    0    0     0     0  108  234  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  109  241  0  1 99  0  0
 0  0      0 255840   3332 289936    0    0     0     0  103  219  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  116  234  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  110  229  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     4  117  242  0  3 97  0  0
